Start,End,Lobbyist,Client,Industry,Cluster
2013-12-20,2016-12-23,Richard Suttle,David and Suzanne Booth,Real Estate Investment/Development,168
2013-12-20,2016-12-23,Richard Suttle,Brock Consulting Group,Real Estate Investment/Development,67
2013-12-20,2016-12-23,Richard Suttle,The Brohn Group,Real Estate Investment/Development,171
2013-12-20,2016-12-23,Richard Suttle,Gene Burris,Real Estate Investment/Development,173
2013-12-20,2016-12-23,Richard Suttle,Creek 620,Real Estate Investment/Development,174
2013-12-20,2016-12-23,Richard Suttle,Crescent 210 Barton Springs,Real Estate Investment/Development,181
2013-12-20,2016-12-23,Richard Suttle,Charles Dorrance,Private Property Owner,569
2013-12-20,2016-12-23,Richard Suttle,The Dovetail Companies,Real Estate Investment/Development,757
2013-12-20,2016-12-23,Richard Suttle,Dwyer Realty Companies,Land Development,803
2013-12-20,2015-12-23,Richard Suttle,Jeffery C. Garvey,Private Property Owner/Real Estate Investment/Development,177
2013-12-20,2016-12-23,Richard Suttle,General Investment and Development,Real Estate Investment/Development,179
2013-12-20,2016-12-23,Richard Suttle,Texas Disposal Systems,Waste Disposal,638
2013-12-20,2016-12-23,Richard Suttle,HSD Lakeway Holdings,Real Estate Investment/Development,182
2013-12-20,2016-12-23,Richard Suttle,Liz Lambert,Private Property Owner/Real Estate Investment/Development,186
2013-12-20,2016-12-23,Richard Suttle,Makar Properties,Real Estate Investment/Development,175
2013-12-20,2016-12-23,Richard Suttle,P&S Investments I,Real Estate Investment/ Development,751
2013-12-20,2016-12-23,Richard Suttle,Eric Reddehase,Real Estate Investment/Development,693
2013-12-20,2016-12-23,Richard Suttle,Scott Sayers,Real Estate Investment/Development,190
2013-12-20,2016-12-23,Richard Suttle,Christopher Slover,Private Property Owner,572
2013-12-20,2016-12-23,Richard Suttle,Speakeasy,Restaurant/Bar,493
2013-12-20,2016-12-23,Richard Suttle,Tanglewood Forest Limited District,Limited District,192
2013-12-20,2016-12-23,Richard Suttle,Walton International Group,Real Estate Investment/Development (Canada M5J2TE Address),194
2013-12-20,2016-12-23,Richard Suttle,Cirrus Logic,Real Estate Development,196
2013-12-20,2016-12-23,Richard Suttle,Austin Achieve,Public School,798
2013-12-20,2016-12-23,Richard Suttle,IDEA Public Schools,Public School,198
2013-12-20,2016-12-23,Richard Suttle,KIPP Austin Public School,Public School,200
2013-12-20,2016-12-23,Richard Suttle,Seton Healthcare,Real Estate,201
2013-12-20,2016-12-23,Richard Suttle,Urban Outfitters,Real Estate,202
2013-12-20,2016-12-23,Richard Suttle,"Riverside Resources Investments, Limited",Property Owner,100
2013-12-20,2016-12-23,Richard Suttle,Taylor Morrison,Developer,203
2013-12-20,2016-12-23,Richard Suttle,Gables Residential,Real Estate Investment,107
2013-12-20,2016-12-23,Richard Suttle,Ryan Street and Associates,Real Estate,234
2013-12-20,2016-12-23,Richard Suttle,G5 Investments,Real Estate Investment,750
2013-12-20,2016-12-23,Richard Suttle,"Gallegos, Jim",Real Estate,746
