Start,End,Lobbyist,Client,Industry,Cluster
2011-08-17,2012-08-16,Travis Phillips,Russell's Bakery,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Russell's Bistro,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,The Samuel Group Architects,Real Property Owner,98
2011-08-17,2012-08-16,Travis Phillips,"Second Congress, Limited",Land Development Company,338
2011-08-17,2012-08-16,Travis Phillips,Shoal Creek Saloon,Property Owner,339
2011-08-17,2012-08-16,Travis Phillips,Sportsman's Barbershop,Property Owner,276
2011-08-17,2012-08-16,Travis Phillips,Saint Edward's University,Real Property Owner,161
2011-08-17,2012-08-16,Travis Phillips,Subway,Property Owner,227
2011-08-17,2012-08-16,Travis Phillips,V and S Enterprises,Commercial Real Property Management,767
2011-08-17,2012-08-16,Travis Phillips,Trilogy Enterprises,Property Owner,342
2011-08-17,2012-08-16,Travis Phillips,Tri Recycling,Recycling Company,343
2011-08-17,2012-08-16,Travis Phillips,Verbena Design Studio,Property Owner,724
2011-08-17,2012-08-16,Travis Phillips,Versa Development,Property Owner,344
2011-08-17,2012-08-16,Travis Phillips,Wendow,Property Owner,727
2011-08-17,2012-08-16,Travis Phillips,Sophie Wiman,Property Owner,721
2011-08-17,2012-08-16,Travis Phillips,Zachary Scott Theatre,Property Owner,346
2011-08-17,2012-08-16,Travis Phillips,Zilker Park Residences Partners,Land Development Company,637
2013-08-15,2014-08-15,John Carlton,Travis County Emergency Services District No. 11,Emergency Services,347
2011-08-16,2012-08-15,Deborah Reyes,Advance America - Cash Advance Centers,Financial Services,348
2013-08-13,2014-08-13,Martha Harris,AT&T,"Network deployment, development, zoning and signage issues",101
2013-08-09,2014-08-09,Josh Fritzsche,Dropbox,Technology/Secure Data Storage,285
2013-08-07,2015-08-20,Leslie Ward,AT&T,"Network deployment, development, zoning and signage issues",101
2013-08-07,2015-08-20,Evangelina Munoz,AT&T,"Network deployment, development, zoning and signage issues",101
2013-08-06,2014-08-06,David Nichols,AT&T,"Network deployment, development, zoning and signage issues",101
2013-08-06,2016-08-04,Robert Digneo,AT&T,"Network deployment, development, zoning and signage issues",101
2013-08-06,2014-08-06,Teakell Randall,AT&T,"Network deployment, development, zoning and signage issues",101
2013-08-06,2015-08-20,Michael Peterson,AT&T,"Network deployment, development, zoning and signage issues",101
2013-07-23,2014-07-23,Emily Timm,Workers Defense Project,Non- Profit,41
2013-07-23,2014-07-23,Kevin Flahive,HausBar Farms,Urban Farm,922
2013-07-23,2014-07-23,Kevin Flahive,Marvin Petzolt,Resl Estate Development,923
2013-07-18,2014-07-18,Pamela Madere,Harris Branch Master Association,Real Estate Development,457
2013-07-18,2016-07-20,Pamela Madere,RKS Texas Investments,Real Estate Development,809
2013-07-18,2014-07-18,Pamela Madere,5001 Convict Hill,Real Estate Development,275
2013-07-18,2014-07-18,Pamela Madere,SC Lantana Investors,Real Estate Development,279
2013-07-18,2015-07-18,Pamela Madere,"Coats, Rose, Yale, Ryman and Lee",Practice of Law,273
2013-07-18,2014-07-18,Pamela Madere,Austin Presbetyrian Theological Seminary,Religious Organization,280
2013-07-18,2014-07-18,Pamela Madere,North Austin MUD No. 1,Real Estate,36
2013-07-18,2014-07-18,Pamela Madere,The Brohn Group,Real Estate,170
2013-07-18,2014-07-18,Pamela Madere,Austin Ridge Bible Church,Real Estate Development,284
2013-07-18,2014-07-18,Pamela Madere,CBL and Associates Management,Real Estate,268
2013-07-09,2014-07-09,Amanda Swor,Arnold Oil,Real Estate Developement,351
2013-07-09,2014-07-09,Amanda Swor,Hixon Properties,Real Estate Development,352
2013-07-09,2014-07-09,Amanda Swor,Manchester Financial Group,Real Estate Developement,599
2013-07-09,2014-07-09,Amanda Swor,Post Paggi,Real Estate Developement,353
2013-07-09,2015-07-09,Amanda Swor,Walters Southwest,Real Estate,894
2013-07-09,2015-07-09,Amanda Swor,Trinsic Residential Group,Real Estate,354
2013-07-09,2014-07-09,Amanda Swor,CWS Capital Partners,Real Estate Development,355
2013-07-09,2015-07-09,Amanda Swor,Cousins Properties,Real Estate,48
2012-07-05,2013-07-05,Jesus Garza,Seton Healthcare,Healthcare Provider,658
2012-07-05,2013-07-05,Ashton Cumberbatch,Seton Healthcare,Healthcare Provider,658
2012-07-05,2013-07-05,William Berger,Seton Healthcare,Healthcare Provider,658
2012-07-05,2013-07-05,Gregory Hartman,Seton Healthcare,Healthcare Provider,658
2013-07-01,2014-07-01,Will Wynn,NextEra Energy Resources,Renewable Energy Development,356
2013-07-01,2014-07-01,Philip Haag,River Place Municipal Utility District,Municipal Utility District,358
2013-07-01,2014-07-01,Philip Haag,Shady Hollow MUD,Real Estate Development,115
2013-06-28,2014-06-28,Joe Garcia,Greater Austin Transportation,Transportation,359
2013-06-28,2014-06-28,Joe Garcia,R and R Limousine and Bus,Limo and Bus Service,924
2010-06-24,2011-06-24,Alison Gardner,Berns Commercial Properties,Real Property Owner,293
2010-06-24,2011-06-24,Alison Gardner,"Crixell, Juan",Real Property Owner,360
2010-06-24,2011-06-24,Alison Gardner,"Robbins, Stuart B.",Property Owner,800
2010-06-24,2011-06-24,Alison Gardner,Versa Development,Property Owner,344
2010-06-24,2011-06-24,Alison Gardner,"Kelly, Mike",Real Property Owner,361
2010-06-24,2011-06-24,Alison Gardner,"Jones, Eddie",Real Property Owner,349
2010-06-24,2011-06-24,Alison Gardner,"Lehmann, Sandy",Real Propery Owner,364
2010-06-24,2011-06-24,Alison Gardner,"Schriber, Michael",Real Property Owner,328
2010-06-24,2011-06-24,Alison Gardner,"Dawlett, Haythem",Real Property Owner,365
2010-06-24,2011-06-24,Alison Gardner,"Petty, Stephen",Real Property Owner,366
2010-06-24,2011-06-24,Alison Gardner,Stahl Bernal and Davies,Law Firm,368
2010-06-24,2011-06-24,Alison Gardner,V and S Enterprises,Commercial Real Property Management,767
2010-06-24,2011-06-24,Alison Gardner,Crescent Recourses,Real Property Owners,261
2012-06-22,2013-06-22,Emily Chenevert,Austin Board of Realtors,Real Estate,27
2013-06-18,2016-06-12,Mary Nabers,Oracle America,Software Applications,145
2013-06-18,2016-06-12,Mary Nabers,Cisco Systems,Technology,143
2013-06-18,2016-06-12,Mary Nabers,AT&T,Telecommunications,369
2013-06-18,2016-06-12,Mary Nabers,HDI Solutions,Database Solutions,370
2013-06-18,2016-06-12,Mary Nabers,Northrop Grumman,Systems Integration and Data Centers,371
2013-06-18,2015-06-09,Mary Nabers,Pitney Bowes,Mailing Services,372
2013-05-21,2014-05-21,Timothy Arndt,360 Aircon Energy Savers,Energy Efficient Contract,373
2011-05-10,2012-05-09,Leonard Smith,Freescale,"Design, Testing, Packaging and Marketing of Integraded Circuits",409
2011-05-10,2012-05-09,Leonard Smith,Koontz-McCombs,Land Development,262
2011-05-10,2012-05-09,Leonard Smith,Shoreline Christian Center,Religious Organization,374
2011-05-10,2012-05-09,Leonard Smith,Robert H. Theriot,Developer,376
2011-05-10,2012-05-09,Leonard Smith,Carollo Engineers,Engineers,877
2011-05-10,2012-05-09,Elise Wood,Credit Suisse Asset Management,Banking/Finance,377
2011-05-10,2012-05-09,Leonard Smith,Denucci Constructors,Construction,379
2011-05-10,2012-05-09,Leonard Smith,Forestar Real Estate Group,Land Development & Sales,46
2011-05-10,2012-05-09,Leonard Smith,HomeAway,Vacation Rental Service,381
2011-05-10,2012-05-09,Leonard Smith,Wilfred Naddef,Homeowner,302
2011-05-10,2012-05-09,Leonard Smith,The RK Group,Catering and Event Services,382
2011-05-10,2012-05-09,Leonard Smith,Universal Health Services,Health Care Facilities,383
2014-05-02,2015-05-02,Glen Coleman,Green Zone Homes,Water & Energy Conservation,384
2014-05-02,2015-05-02,Glen Coleman,South Llano Strategies,"Consulting,Conservation, Lobbying",385
2014-05-02,2016-06-15,Glen Coleman,PSW Real Estate,Real Estate Development,69
2014-05-02,2015-05-02,Glen Coleman,Coleman Law Office,Law Office,386
2014-05-02,2016-06-15,Glen Coleman,SolarCity,Solar Energy Provider,387
2014-05-02,2015-05-02,Glen Coleman,Patterson Properties,Rental Properties,388
2014-05-02,2015-05-02,Glen Coleman,Mr. Tramps Bar and Tavern,,389
2013-05-01,2014-05-01,Gregorio Casar,Workers Defense Project,Non- Profit,41
2013-04-30,2015-08-20,Jimmy Bennett Sr.,Journeyman Construction,Construction,210
2013-04-30,2015-08-20,Jimmy Bennett Sr.,Ashley Amini,Property Development,391
2013-04-30,2015-08-20,Jimmy Bennett Sr.,"Morrison, David",Property Development,392
2013-04-30,2014-04-30,Jimmy Bennett Sr.,Michael Biter,Property Development,925
2013-04-30,2015-08-20,Jimmy Bennett Sr.,WEHBE Properties,Real Estate Investor,393
2014-04-29,2016-08-31,Alice Glasco,D. R. Horton,Builder,394
2014-04-29,2016-04-16,William Francis,UniSite,Wireless Communications Services,335
2014-04-29,2016-04-16,William Francis,ExeNet Systems,Wireless Communications Services,396
2014-04-29,2015-04-29,Alice Glasco,El Chile Restaurant Group (Carlos Rivero),Zoning,398
2014-04-29,2016-08-31,Alice Glasco,Schlosser Development,Zoning/Land Development,399
2014-04-29,2015-04-29,Alice Glasco,Dobie Austin (Howard Michaels),Land Development,400
2014-04-29,2015-04-29,Alice Glasco,2208 Lake Austin,Real Estate,857
2014-04-29,2015-04-29,Alice Glasco,"GFD Holdings, LLC (Brandon Bolin)",Zoning,401
2014-04-29,2015-04-29,Alice Glasco,Austin Elm Terrace LP,Zoning,403
2013-04-29,2014-04-29,David Cancialosi,John Mayes,Real Estate Entitlement,926
2013-04-29,2014-04-29,David Cancialosi,Gordon Muir,Real Estate Entitlement,927
2013-04-29,2014-04-29,David Cancialosi,Permit Partners,Real Estate Entitlement,928
2013-04-29,2014-04-29,David Cancialosi,Scot Van Den Berg,Real Estate,929
2013-04-29,2014-04-29,David Cancialosi,MKKN Development,Real Estate Entitlement,930
2013-04-29,2014-04-29,David Cancialosi,Andersson Wise Architects,Real Estate Entitlement,931
2013-04-29,2014-04-29,David Cancialosi,Kathy Kyrish,Real Estate Entitlement,932
2013-04-29,2015-10-21,David Cancialosi,Little City Properties,Real Estate,405
2013-04-29,2014-04-29,David Cancialosi,Mission Homes,Real Estate Entitlement,933
2013-04-29,2014-04-29,David Cancialosi,RIP Esselsttyn,Real Estate,934
2013-04-29,2014-04-29,Betty Dunkerley,RedLeaf Properties,Real Estate,406
2013-04-29,2015-06-25,Betty Dunkerley,Strategic Partnerships,Consulting and Research,407
2013-04-29,2015-06-25,Betty Dunkerley,Lone Star Rail,Railroad,126
2013-04-29,2014-04-29,Betty Dunkerley,Seton Healthcare,Healthcare Provider,658
2014-04-25,2016-04-24,Jerry Harris,TX RR620 Apartments,Apartment Development,408
2014-04-25,2016-04-24,Jerry Harris,"Cockrum, Brigid",Property Owner,561
2014-04-25,2016-04-24,Jerry Harris,Central Health,Health Center,411
2014-04-25,2015-04-25,Jerry Harris,Saleem Tawill,Radio Station,412
2014-04-25,2015-04-25,Jerry Harris,Greater Austin Transportation Co. (Yellow Cab),Taxicab,562
2014-04-25,2016-04-23,Nikelle Meade,Carollo Engineers,Engineers,414
2014-04-25,2016-04-23,Nikelle Meade,408 Sterzing,Land Development Company,289
2014-04-25,2016-04-23,Nikelle Meade,720 Lamar Place,Property Owner,769
2014-04-25,2016-04-23,Nikelle Meade,AECOM,Engineers,292
2014-04-25,2016-04-23,Nikelle Meade,Atlantic Housing Foundation,Developer,415
2014-04-25,2015-04-25,Nikelle Meade,Antolin Aguirre,Mobile Vending,613
2014-04-25,2015-04-25,Nikelle Meade,Jerry Bell,Individual,416
2014-04-25,2016-04-23,Nikelle Meade,Berns Commercial Properties,Real Property Owner,293
2014-04-25,2016-04-23,Nikelle Meade,Bouldin Creek Neighborhood Association,Neighborhood Association,299
2014-04-25,2015-04-25,Nikelle Meade,Brazos Masonry,Property Owner,74
2014-04-25,2015-04-25,Nikelle Meade,Bunkhouse Management,Developer,303
2014-04-25,2015-04-25,Nikelle Meade,Circuit of the Americas,Sports and Special Events Productions,105
2014-04-25,2015-04-25,Nikelle Meade,Colony Park Neighborhood Association,Neighborhood Asociation,299
2014-04-25,2016-04-23,Nikelle Meade,Continental Cars,Car Dealership,417
2014-04-25,2015-04-25,Nikelle Meade,Eanes Community Alliance,Community Association,323
2014-04-25,2015-04-25,Nikelle Meade,Walter B. Eads,Individual,362
2014-04-25,2016-04-23,Nikelle Meade,Fine Line Diversified Development,Real Estate,628
2014-04-25,2016-04-23,Nikelle Meade,Flemtex Properties,Plastics Recycling Company,418
2014-04-25,2016-04-23,Nikelle Meade,Gemini Solar Development,Solar Power Company,634
2014-04-25,2016-04-23,Nikelle Meade,Steve Greenberg,Retail Sales,314
2014-04-25,2015-04-25,Nikelle Meade,The Greystone Group,Developer,419
2014-04-25,2016-04-23,Nikelle Meade,Grubb and Ellis Realty Investors,Real Property Owner,315
2014-04-25,2015-04-25,Nikelle Meade,Heritage Neighborgood Association,Neighborhood Association,298
2014-04-25,2015-04-25,Nikelle Meade,"Highland Park West, Limited",Neighborhood Association,316
2014-04-25,2016-04-23,Nikelle Meade,HomeAway,Vacation Rental Service,381
2014-04-25,2016-04-23,Nikelle Meade,Insurance Auto Auctions,Auto Salvage,420
2014-04-25,2016-04-23,Nikelle Meade,Jeremiah Venture,Developer,421
2014-04-25,2016-04-23,Nikelle Meade,JLB Realty,Developer,632
2014-04-25,2016-04-23,Nikelle Meade,LDG Norwood,Property Owner,422
2014-04-25,2016-04-23,Nikelle Meade,"Liemandt, Joseph and Andra",Real Property Owner,625
2014-04-25,2015-04-25,Nikelle Meade,Stephen Melchiode,Individual,710
2014-04-25,2016-04-23,Nikelle Meade,Mill Creek Residential Trust,Developer,607
2014-04-25,2016-04-23,Nikelle Meade,Sohil Momin,Property Owner,423
2014-04-25,2016-04-23,Nikelle Meade,"Moumouris, Lampros",Individual,134
2014-04-25,2016-04-23,Nikelle Meade,MTG Management,Commerical Real Property Management,768
2014-04-25,2016-04-23,Nikelle Meade,Oxford Alliance Investments,Land Development Company,334
2014-04-25,2016-04-23,Nikelle Meade,Prevarian Hospital Partners,Property Owner,635
2014-04-25,2015-04-25,Nikelle Meade,Plaza Lofts,Real Estate,424
2014-04-25,2016-04-23,Nikelle Meade,Radec Management,Property Management,766
2014-04-25,2016-04-23,Nikelle Meade,Reagan National Advertising,Outdoor Advertising,832
2014-04-25,2016-04-23,Nikelle Meade,"Riverside Resources Investments, Limited",Property Owner,100
2014-04-25,2016-04-23,Nikelle Meade,Sandstone Ventures,Developer,614
2014-04-25,2015-04-25,Nikelle Meade,Kevin Tarr,Property Owner,786
2014-04-25,2016-04-23,Nikelle Meade,Texas Capital Bank,Banking Association,326
2014-04-25,2016-04-23,Nikelle Meade,V and S Enterprises,Commercial Real Property Management,767
2014-04-25,2016-04-23,Nikelle Meade,Versa Development,Property Owner,344
2014-04-25,2016-04-23,Nikelle Meade,Zilker Park Residences Partners,Land Development Company,637
2014-04-25,2016-04-23,Nikelle Meade,Austin Board of Realtors,Real Estate,27
2014-04-25,2016-04-23,Nikelle Meade,Austin Renaissance,Property Owner,425
2014-04-25,2015-04-25,Nikelle Meade,Charmeleon Group,Car Dealership,426
2014-04-25,2016-04-23,Nikelle Meade,Davenport Ranch Neighborhood Assoc.,Neighborhood Assoc,428
2014-04-25,2016-04-23,Nikelle Meade,Eureka Holdings,Real Estate,619
2014-04-25,2016-04-23,Nikelle Meade,Chereen Fisher,Property Owner,616
2014-04-25,2016-04-23,Nikelle Meade,Forestar Real Estate Group,Land Development & Sales,46
2014-04-25,2015-04-25,Nikelle Meade,Freedom Carwash,Car Wash,429
2014-04-25,2016-04-23,Nikelle Meade,Anthony George,Property Owner,629
2014-04-25,2016-04-23,Nikelle Meade,"Gilcrease, Peter",Property Owner,430
2014-04-25,2015-04-25,Nikelle Meade,James Jard,Property Owner,431
2014-04-25,2016-04-23,Nikelle Meade,Kailey Development Partners,Property Owner,432
2014-04-25,2016-04-23,Nikelle Meade,Lippincott Capital,Property Owner,606
2014-04-25,2015-04-25,Nikelle Meade,Lyft,Transportation,433
2014-04-25,2015-04-25,Nikelle Meade,David McMahan,Individual,362
2014-04-25,2016-04-23,Nikelle Meade,The NRP Group,Developer,434
2014-04-25,2016-04-23,Nikelle Meade,Pacifica Host Hotels,Hotel,136
2014-04-25,2016-04-23,Nikelle Meade,Cary and Cynthia Reynolds,Property Owner,436
2014-04-25,2015-04-25,Nikelle Meade,Taylor Woodrow Communities/Steiner Ranch,Developer,203
2014-04-25,2016-04-23,Nikelle Meade,The Park at Travis Country COA,Condo Propert Owners,437
2014-04-25,2015-04-25,Nikelle Meade,Stuart Thomajan,Property Owner,438
2014-04-25,2016-04-23,Nikelle Meade,Trilogy Enterprises,Property Owner,342
2014-04-25,2016-04-24,Jerry Harris,Austin Elm Terrace LP,Land Development,402
2014-04-25,2016-04-24,Jerry Harris,Koontz-McCombs,Land Development,262
2014-04-25,2016-04-24,Jerry Harris,Hudgins Apartment Development,Apartment Development,440
2014-04-25,2015-04-25,Jerry Harris,Bill and Kathy Darling,Property Owners,441
2012-04-25,2013-04-25,Allen Halbrook,Davey Tree Expert Company,Tree Trimming,237
2014-04-24,2015-04-24,Rachel Fisher,Austin Apartment Association,Apartment Management,935
2014-04-24,2016-04-24,Jed Buie,Conley Sports,Event Manager,442
2014-04-24,2016-04-24,Jed Buie,SELTEX,Special event,443
2014-04-24,2016-04-24,Jed Buie,Buie and Co.,Public Affairs,444
2014-04-24,2016-04-24,Jed Buie,HDR,Engineering Firm,221
2014-04-24,2016-04-24,Jed Buie,Lyft,Transportation,433
2014-04-24,2016-04-24,Jed Buie,Friends of Lake Austin,Lake Austin Issues,445
2014-04-24,2016-04-24,Jed Buie,Ryan Companies,Real Estate,936
2014-04-24,2016-04-24,Jed Buie,Perry Estates,Real Estate,243
2014-04-24,2016-04-24,Jed Buie,City of Dripping Springs,Infrastructure,448
2014-04-24,2016-04-24,Jed Buie,RedLeaf Properties,Real Estate,406
2014-04-24,2016-04-24,Jed Buie,Thinkery,Real Estate and Non-Profit,449
2014-04-24,2016-04-24,Jed Buie,Trail Foundation,Parks and Trails,674
2014-04-24,2016-04-24,Jed Buie,InSinkErator,Food Disposal,230
2014-04-21,2015-04-21,Darren Kolack,Redflex Traffic Systems,Automated Traffic Enforcement,450
2011-04-21,2012-04-20,Henry Gilmore,Wal-Mart,Retail Merchant,224
2011-04-21,2012-04-20,Henry Gilmore,"Gila, LLC dba Municipal Services Bureau",Debt Collection,937
2011-04-21,2012-04-20,Henry Gilmore,Lone Star Cab Company,Taxi Cab,938
2012-04-17,2013-04-17,"Tom ""Smitty"" Smith",Public Citizen,Non-Profit,451
2012-04-16,2013-04-16,Gay Erwin,Strategic Partnerships,Consulting and Research,407
2012-04-16,2013-04-16,Gay Erwin,Greyhound Lines,Transportation,939
2011-04-14,2012-04-13,Roger Duncan,VIA Motors,Automaker,76
2014-03-31,2016-03-31,Allen Thrower,Horse Thief Hollow,Zonng,454
2014-03-31,2016-03-31,Allen Thrower,Rick Sheldon Real Estate,Zoning,455
2014-03-31,2016-03-31,Allen Thrower,Colonnetta Family,Zoning,456
2014-03-31,2016-03-31,Allen Thrower,Met Center,Property Owner,461
2014-03-31,2016-03-31,Allen Thrower,NB 26 Properties,Zoning,464
2014-03-31,2016-03-31,Allen Thrower,Quest Tower View,Zoning,714
2014-03-31,2016-03-31,Allen Thrower,Zydeco Development,Real Estate Development,462
2014-03-31,2016-03-31,Allen Thrower,Milestone Community Builders,Real Estate,259
2014-03-31,2016-03-31,Allen Thrower,PPF AMLI Covered Bridge Drive,Zoning,465
2014-03-31,2015-03-31,Allen Thrower,CBAL Whitecrowe,Zoning,466
2014-03-31,2015-03-31,Allen Thrower,Covered Bridge Assisted Living,Land Developement,467
2014-03-31,2016-03-31,Allen Thrower,Covered Bridge Section 8,Zoning,639
2014-03-31,2016-03-31,Allen Thrower,North I-35 Business Park,Zoning,640
2014-03-31,2016-03-31,Allen Thrower,Vijay Patel,Zoning,468
2014-03-31,2016-03-31,Allen Thrower,GST Hermanas Land and Cattle,Zoning,83
2014-03-31,2016-03-31,Allen Thrower,Wagwater Partners,Zoning,84
2014-03-31,2015-03-31,Allen Thrower,Tomlinson's Feed and Pets,Zoning,470
2014-03-31,2015-03-31,Allen Thrower,Congress Avenue Baptist Church,Zoning,471
2014-03-31,2016-03-31,Allen Thrower,Riverside Homes/Scott Turner,Zoning,472
2014-03-31,2015-03-31,Allen Thrower,Met Center,Property Owner,463
2014-03-31,2016-03-31,Allen Thrower,Colina West Real Estate,Real Estate Investment/Development,103
2014-03-31,2016-03-31,Allen Thrower,Kucera Management/Ted Mecklin,Zoning,85
2014-03-31,2016-03-31,Allen Thrower,Twin Liquors,,474
2014-03-31,2016-03-31,Allen Thrower,Vargas Properties I,Zoning,476
2014-03-31,2015-03-31,Allen Thrower,David Honeycutt,Zoning,477
2012-03-23,2013-03-23,Joel Romo,American Heart Association,Non-profit Public Health Organization,478
2012-03-23,2013-03-23,Brian Bower,American Heart Association,Non-profit Public Health Organization,478
2012-03-23,2013-03-23,Terri Broussard Williams,American Heart Association,Non-profit Public Health Organization,478
2013-03-21,2014-03-21,Carolyn Walsh,Redflex Traffic Systems,Automated Traffic Enforcement,450
2014-03-13,2015-03-13,Dowe Gullatt,Austin Green Cab,Transportation,481
2014-03-13,2016-03-16,Dowe Gullatt,Ranger Excavating,Excavation,482
2014-03-13,2015-03-13,Dowe Gullatt,Austin Country Club,Real Estate Development,483
2014-03-13,2015-03-13,Dowe Gullatt,Brent and Jennifer Cardwell,Home Owner,378
2014-03-13,2015-03-13,Dowe Gullatt,Energy AP,Energy,486
2014-03-10,2015-03-10,Chuck Rice,Pohl Partners,Land Developers,20
2014-03-10,2015-03-10,Chuck Rice,Denison Development,Land Developers,23
2014-03-10,2015-03-10,Chuck Rice,UMLAUF Sculpture Gardens and Museum,Non-Profit Educational Charity,489
2012-03-09,2013-03-09,Jay Hailey,RedLeaf Properties,Real Estate,406
2012-03-09,2013-03-09,Jay Hailey,Apple,Computer and Consumer Electronic Products,490
2013-03-08,2014-03-08,James Cousar,"Bridges on The Park Condominium Association, Inc.",Condominium Association,491
2013-03-07,2014-03-07,Robert Kleeman,Triton Receivership,Real Estate,492
2013-03-07,2014-03-07,Robert Kleeman,Dessau Business Park Propery Owners Assn,Land Development,940
2013-03-07,2014-03-07,Robert Kleeman,Capital Metro,Bus System,495
2013-03-07,2014-03-07,Robert Kleeman,Jeff Alderson,Land Development,941
2013-03-07,2014-03-07,Robert Kleeman,Conor Commercial Real Estate,Land Development,942
2013-03-07,2014-03-07,Robert Kleeman,Munsch Hardt Kopf and Harr,Law Firm,492
2012-03-05,2013-03-05,Janice Cartwright,"The Real Estate Council of Austin, Inc.",Non-profit,497
2013-03-04,2014-03-04,Paul Saldaña,Southwest Key/ East Austin College Prep Academy,Education/ Social Service Organization/Economic Development Corp,498
2013-03-04,2014-03-04,Paul Saldaña,Snappy Snacks Mobile Catering,Mobile Catering,199
2013-03-04,2014-03-04,Paul Saldaña,U.S. Hispanic Contractors Association,Construction Trade Association,500
2013-03-04,2014-03-04,Paul Saldaña,Brisa Communications,"Public Relations, Marketing Advertising, Real Estate/Constru",452
2013-03-04,2014-03-04,Paul Saldaña,TRC Solutions,Engineering Services,502
2013-03-04,2014-03-04,Paul Saldaña,Save Austin,Community Historic Preservation Group,503
2013-03-04,2014-03-04,Paul Saldaña,Crossroads Events,Cultural Arts Organization,78
2013-03-04,2014-03-04,Paul Saldaña,Minority Contractors Trade Association Alliance,MBE/WBE Issues,80
2013-03-04,2014-03-04,Paul Saldaña,"International Bank of Commerce, Laredo, Texas",Property Owner,695
2013-03-04,2014-03-04,Paul Saldaña,Trammell Crow Company,Real Estate Development,99
2013-03-04,2014-03-04,Paul Saldaña,MVAA,Master Planning,508
2013-03-04,2014-03-04,Paul Saldaña,The Mulholland Group,Affordable Housing Developers,87
2013-03-04,2014-03-04,Paul Saldaña,Fiestas Patrias of Austin,Non profit Cultural Arts,510
2013-02-14,2016-07-31,Jeffrey Howard,Thomas Southwest,Property Owner,589
2013-02-14,2016-07-31,Jeffrey Howard,Pearson Place at Avery Ranch,Real Estate Development,513
2013-02-14,2015-08-01,Jeffrey Howard,Cirrus Logic,Real Estate Development,196
2013-02-14,2016-07-31,Jeffrey Howard,LTBS 2222,Property Owner,154
2013-02-14,2016-07-31,Jeffrey Howard,620/183,Property Owner,153
2013-02-14,2016-07-31,Jeffrey Howard,Castle Hill Management,Real Estate Development,882
2013-02-14,2015-08-01,Jeffrey Howard,Cummings-Baccus,Property Owner,517
2013-02-14,2015-08-01,Jeffrey Howard,Sheffield Partners,Property Owner,518
2013-02-14,2016-07-31,Jeffrey Howard,Texas Star Brands,Restaurant Operator,184
2013-02-14,2015-08-01,Jeffrey Howard,Makar Development - Waters Edge,Real Estate Development,519
2013-02-14,2016-07-31,Jeffrey Howard,ZFB,Real Estate Development,733
2013-02-14,2015-08-01,Jeffrey Howard,Community Sun,Solar Company,520
2013-02-14,2016-07-31,Jeffrey Howard,"McGinnis, Michael J.",Property Owner,331
2013-02-14,2015-08-01,Jeffrey Howard,Richard Hardin,Property Owner,330
2013-02-14,2016-07-31,Jeffrey Howard,JP Morgan Chase Bank,Financial Institutions,595
2014-02-12,2015-02-12,Royce Poinsett,"El Rey Network, LLC",Television network,522
2014-02-03,2015-02-03,Mark Littlefield,Winstead,Real Estate,492
2014-02-03,2017-02-22,Mark Littlefield,Austin Film Studios,Austin Film Industry,703
2014-02-03,2017-02-22,Mark Littlefield,Stratus Properties,Live Music and Real Estate Development,523
2014-02-03,2017-02-22,Mark Littlefield,Force Multiplier Solutions,Child Safety,524
2014-02-03,2015-02-03,Mark Littlefield,Boot Man,Private Vehicle Immobilizaion,943
2014-02-03,2015-02-03,Mark Littlefield,PEC Pedernales Electric Cooperative,Electric Coop,944
2014-02-03,2016-01-29,Mark Littlefield,Republic Services,Waste Recycling & Residuals,146
2014-02-03,2016-01-29,Mark Littlefield,Southwest Strategies Group,Development,527
2014-01-31,2015-01-31,Ward Tisdale,"The Real Estate Council of Austin, Inc.",Non-profit,497
2014-01-31,2015-01-31,Nancy Siefken,"The Real Estate Council of Austin, Inc.",Non-profit,497
2012-01-19,2013-01-18,"Theodore Wickersham, Jr.",Solar Austin Foundation,Business Association,529
2013-01-17,2014-01-17,Vaughn Richard,Marc Knutsen Companies,Land Development,530
2014-01-16,2016-01-20,David Armbrust,Lennar Homes,Real Estate,532
2014-01-16,2017-01-19,David Armbrust,Forestar Real Estate Group,Land Development & Sales,46
2014-01-16,2017-01-19,David Armbrust,David and Suzanne Booth,Real Estate investment/ development,47
2014-01-16,2017-01-19,David Armbrust,Titan Capital Investment Group,Land Development,533
2014-01-16,2017-01-19,David Armbrust,Cypress Realty,Real Estate Development,112
2014-01-16,2017-01-19,David Armbrust,Dwyer Realty Companies,Land Development,803
2014-01-16,2015-01-16,David Armbrust,Texas 1836 -- EB5,Financing/Development,945
2014-01-16,2017-01-19,David Armbrust,Robinson Ranch,"Investment, development, zoning and related activities",805
2014-01-16,2017-01-19,David Armbrust,Simon Property Group,Real Estate Development,229
2014-01-16,2017-01-19,David Armbrust,Southern Company,Energy,799
2014-01-16,2017-01-19,David Armbrust,Radisson Hotel,Hotel,159
2014-01-16,2015-01-16,David Armbrust,REIT Management and Research,Property Management; Real Estate Services,165
2014-01-16,2017-01-19,David Armbrust,Austin Achieve,Public School,798
2014-01-16,2017-01-19,David Armbrust,Austin Quality Schools Collaborative,Public School,797
2014-01-16,2017-01-19,David Armbrust,Barshop and Oles Company,Real Estate,534
2014-01-16,2017-01-19,David Armbrust,Magnolia Montessori for all,Public School,205
